ts_ms,volume,energy_ratio,rel_dist_mm,delta_mm,phase_vel_mm_per_frame,power_thr,avg_power,min_power,max_power,power_pass,freq_used_1st,freq_used_2nd
1773844582463,2,1.469700,105.630424,0.001975,0.003799,15000.0,1078874.375,114454.109,2027788.750,10,10,8
1773844582484,2,1.469700,105.630424,-0.002420,0.002409,15000.0,1082983.125,116484.344,2025986.250,10,10,8
1773844582505,2,1.434472,105.630424,-0.008221,0.000066,15000.0,1079019.375,118762.930,2014518.750,10,10,7
1773844582526,2,1.434472,105.630424,-0.004036,-0.001919,15000.0,1069642.250,119442.227,2013936.750,10,10,7
1773844582546,2,1.434472,105.630424,-0.000351,-0.002610,15000.0,1058232.625,117888.555,1975971.250,10,10,6
1773844582568,2,1.434472,105.630424,-0.001761,-0.003358,15000.0,1046617.375,115897.266,1946745.625,10,10,7
1773844582590,2,1.493254,105.630424,0.002599,-0.002354,15000.0,1039013.938,113849.266,1949758.125,10,10,7
1773844582612,2,1.493254,105.630424,0.005962,0.000483,15000.0,1033546.375,112726.844,1947401.625,10,10,8
1773844582633,2,1.493254,105.630424,0.004644,0.002219,15000.0,1031292.438,112920.172,1950798.125,10,10,6
1773844582655,2,1.493254,105.630424,0.005957,0.003480,15000.0,1031465.438,112093.953,1957086.375,10,10,9
1773844582678,2,1.552296,105.630424,0.006676,0.005168,15000.0,1034683.125,111720.055,1960175.125,10,10,6
1773844582679,2,1.552296,105.630424,0.004212,0.005490,15000.0,1042342.625,113585.922,1968990.875,10,10,7
1773844582699,2,1.552296,105.630424,0.002691,0.004836,15000.0,1052459.125,114071.859,1978240.875,10,10,7
1773844582721,2,1.552296,105.630424,0.001504,0.004208,15000.0,1064234.375,114604.797,1989721.125,10,10,8
1773844582741,2,1.552296,105.630424,-0.000621,0.002892,15000.0,1078674.250,115674.000,2008457.125,10,10,9
1773844582764,2,1.509398,105.630424,-0.003209,0.000915,15000.0,1085969.375,116604.797,2020789.250,10,10,7
1773844582781,2,1.509398,105.630424,-0.007361,-0.001399,15000.0,1092580.625,117749.820,2023987.125,10,10,8
1773844582804,2,1.509398,105.630424,-0.008526,-0.003643,15000.0,1095471.625,119601.023,2011160.125,10,10,6
1773844582825,2,1.509398,105.630424,-0.010965,-0.006136,15000.0,1093460.375,119873.000,1986486.750,10,10,7
1773844582849,2,1.456001,105.616173,-0.003446,-0.006701,15000.0,1090749.250,118795.742,1985471.375,10,10,7
1773844582870,2,1.456001,105.616173,-0.001261,-0.006312,15000.0,1084887.250,117572.031,1983366.875,10,10,6
1773844582887,2,1.456001,105.616173,-0.001921,-0.005224,15000.0,1078429.250,116116.141,1975949.125,10,10,7
1773844582908,2,1.456001,105.616173,0.000019,-0.003515,15000.0,1072349.750,115161.945,1972576.250,10,10,7
1773844582934,2,1.484436,105.616173,-0.000973,-0.001516,15000.0,1067323.375,114423.406,1975880.000,10,10,5
1773844582956,2,1.484436,105.616173,0.000727,-0.000682,15000.0,1060919.250,114612.172,1970556.125,10,10,7
1773844582977,2,1.484436,105.616173,0.000402,-0.000349,15000.0,1055715.625,114647.547,1960151.625,10,10,8
1773844582998,2,1.484436,105.616173,0.001096,0.000254,15000.0,1050339.750,114341.867,1961301.500,10,10,6
1773844582998,2,1.484436,105.616173,0.001188,0.000488,15000.0,1047800.938,114300.281,1955348.000,10,10,7
1773844583021,2,1.548885,105.616173,0.001089,0.000900,15000.0,1044261.938,114143.227,1957097.625,10,10,7
1773844583037,2,1.548885,105.616173,0.001614,0.001078,15000.0,1040615.250,113918.320,1952456.875,10,10,9
1773844583059,2,1.548885,105.616173,0.000515,0.001100,15000.0,1036500.188,113618.523,1949520.375,10,10,9
1773844583080,2,1.548885,105.616173,0.003713,0.001624,15000.0,1035190.125,112960.430,1948299.250,10,10,8
